country_id,country_code,country_name,region_id,region_name,funding_agency_id,funding_agency_name,funding_agency_acronym,assistance_category_id,assistance_category_name,fiscal_year,constant_amount
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1953.0,9835185
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1956.0,33571429
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1957.0,37542718
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1960.0,4270764
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1962.0,185274369
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1963.0,15300388
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1964.0,56394855
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1965.0,1714147
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1966.0,15661717
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1967.0,92270823
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1968.0,3673617
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1969.0,6020973
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1972.0,12974756
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1973.0,80846604
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1974.0,29032434
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1975.0,35090849
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1993.0,14756877
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,1994.0,2881154
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2001.0,15826686
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2002.0,241408804
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2003.0,633217886
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2004.0,1321564347
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2005.0,892681308
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2006.0,870775808
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2007.0,699228462
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2008.0,1731257806
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2009.0,1679894279
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2010.0,2569541708
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2011.0,1699017728
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2012.0,2108367291
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2013.0,1753558286
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2014.0,1180338637
4,AFG,Afghanistan,4,South and Central Asia,1,U.S. Agency for International Development,USAID,1,Economic,2015.0,974808905
4,AFG,Afghanistan,4,South and Central Asia,2,Department of State,STATE,1,Economic,1979.0,63716
4,AFG,Afghanistan,4,South and Central Asia,2,Department of State,STATE,1,Economic,1990.0,222841
4,AFG,Afghanistan,4,South and Central Asia,2,Department of State,STATE,1,Economic,1991.0,88325
4,AFG,Afghanistan,4,South and Central Asia,2,Department of State,STATE,1,Economic,1992.0,594240
